ticket_id,user_id,issue_type,created_at,resolved
1,2618,Payment Failed,2025-03-22,1
2,960,Slow App,2025-05-19,1
3,2093,Payment Failed,2025-04-23,0
4,7171,KYC Issue,2025-02-05,1
5,2665,Login Issue,2025-03-27,0
6,6517,Refund Not Received,2025-02-11,0
7,7576,Login Issue,2025-04-20,0
8,6260,Refund Not Received,2025-05-26,1
9,7375,KYC Issue,2025-04-05,0
10,8877,Slow App,2025-01-20,0
11,9760,KYC Issue,2025-02-15,0
12,8180,KYC Issue,2024-12-23,0
13,7960,Payment Failed,2025-03-01,1
14,3178,Slow App,2025-03-25,1
15,184,KYC Issue,2025-04-11,1
16,2765,Login Issue,2025-04-24,0
17,9156,KYC Issue,2025-05-02,1
18,7768,KYC Issue,2025-03-02,0
19,5304,Login Issue,2025-06-03,0
20,323,Refund Not Received,2025-05-22,0
21,5979,Payment Failed,2025-03-12,1
22,5900,Payment Failed,2025-04-06,0
23,7035,Refund Not Received,2025-01-10,1
24,725,Payment Failed,2025-04-06,0
25,6046,Payment Failed,2025-04-17,1
26,8846,KYC Issue,2025-06-04,1
27,2317,KYC Issue,2025-02-24,1
28,3994,Slow App,2024-12-22,1
29,6724,Payment Failed,2025-04-12,0
30,9001,KYC Issue,2025-04-16,0
31,4548,Login Issue,2025-03-11,1
32,3914,Refund Not Received,2025-03-06,0
33,5933,Slow App,2025-03-02,1
34,9677,Login Issue,2025-04-11,0
35,3433,Refund Not Received,2024-12-22,0
36,6074,Payment Failed,2025-05-12,1
37,4903,Payment Failed,2025-02-02,0
38,4509,Refund Not Received,2025-01-15,0
39,9417,KYC Issue,2024-12-30,0
40,1423,Payment Failed,2025-04-14,0
41,8630,Slow App,2025-03-07,0
42,3427,Refund Not Received,2025-04-11,0
43,3830,Refund Not Received,2024-12-29,1
44,5093,Slow App,2025-02-14,0
45,9827,Payment Failed,2025-03-22,1
46,9488,Refund Not Received,2025-05-17,1
47,9314,Login Issue,2025-03-24,1
48,7059,Refund Not Received,2025-01-26,0
49,6894,Slow App,2025-01-24,0
50,8985,Slow App,2025-04-13,1
51,6325,Refund Not Received,2025-02-01,0
52,6412,KYC Issue,2025-06-03,1
53,2755,Payment Failed,2024-12-28,1
54,9050,Slow App,2024-12-30,1
55,7028,Refund Not Received,2025-02-24,0
56,7079,Slow App,2024-12-17,0
57,7708,Payment Failed,2025-05-13,1
58,6555,Refund Not Received,2025-01-22,1
59,8417,Refund Not Received,2025-01-30,0
60,3608,Payment Failed,2025-03-18,0
61,8394,Slow App,2025-02-12,1
62,1437,Slow App,2025-02-25,1
63,7697,Refund Not Received,2025-04-01,0
64,7782,KYC Issue,2024-12-20,1
65,9522,Login Issue,2025-03-13,0
66,8581,Refund Not Received,2025-05-14,1
67,9244,Login Issue,2025-01-23,1
68,2847,Payment Failed,2025-01-07,0
69,3162,Slow App,2025-05-10,1
70,8178,KYC Issue,2025-04-28,0
71,2080,KYC Issue,2025-05-29,1
72,2651,KYC Issue,2025-03-23,0
73,9632,Payment Failed,2024-12-24,0
74,2334,Refund Not Received,2025-03-22,1
75,626,Refund Not Received,2025-01-16,1
76,6595,Slow App,2025-01-02,1
77,4745,Login Issue,2025-06-05,1
78,3694,Refund Not Received,2025-05-16,1
79,9276,Payment Failed,2025-03-16,1
80,4329,Slow App,2025-03-21,0
81,2186,Login Issue,2025-03-21,0
82,908,Slow App,2025-02-14,1
83,2058,Login Issue,2025-02-10,0
84,3868,KYC Issue,2025-03-23,1
85,7700,KYC Issue,2025-03-10,1
86,5729,Slow App,2025-04-12,1
87,1200,Slow App,2025-05-23,0
88,2478,Payment Failed,2025-04-21,0
89,636,KYC Issue,2025-05-15,0
90,7188,Payment Failed,2025-01-21,1
91,8624,KYC Issue,2025-01-26,0
92,2100,Payment Failed,2025-05-08,1
93,9964,Payment Failed,2025-05-02,1
94,238,Payment Failed,2025-03-30,1
95,7485,KYC Issue,2025-03-03,1
96,1631,Refund Not Received,2025-06-01,1
97,2148,Slow App,2025-03-29,0
98,2542,Refund Not Received,2025-01-24,1
99,8023,Refund Not Received,2025-06-01,0
100,3774,Login Issue,2025-06-07,1
