txn_id,user_id,txn_date,amount,txn_type,status
1,6501,2024-09-23,3010.83,send,Success
2,6668,2025-06-03,430.39,bill_pay,Failed
3,1128,2024-08-13,3496.62,receive,Success
4,1378,2025-02-03,4331,recharge,Failed
5,5956,2024-10-18,3282.08,receive,Success
6,9183,2025-01-26,4808.36,recharge,Success
7,1948,2024-11-10,2173.04,receive,Pending
8,7972,2024-07-23,2202.86,upi_qr,Success
9,4127,2024-12-15,2987.39,bill_pay,Pending
10,2992,2024-10-23,849.66,receive,Pending
11,837,2025-05-06,2014.13,recharge,Failed
12,708,2024-08-30,4367.64,bill_pay,Success
13,2498,2025-04-27,2919.11,bill_pay,Failed
14,6258,2025-03-05,4028.03,send,Pending
15,9845,2024-07-09,471.88,upi_qr,Success
16,9641,2024-09-21,2281.52,send,Success
17,3773,2025-05-07,4256.59,send,Pending
18,3961,2024-08-01,3807.73,receive,Pending
19,6476,2024-06-18,927.62,bill_pay,Success
20,6239,2025-01-16,1733.86,upi_qr,Success
21,9017,2024-10-27,4136.62,send,Failed
22,5384,2024-08-08,3128.37,upi_qr,Success
23,3886,2025-01-04,2995.33,recharge,Pending
24,694,2025-01-18,3363.06,send,Success
25,7613,2024-09-23,3872.26,recharge,Failed
26,4707,2024-08-31,3772.33,upi_qr,Failed
27,9911,2024-07-19,1420.23,recharge,Success
28,3218,2025-01-21,4594.88,upi_qr,Failed
29,6674,2025-05-19,1441,send,Success
30,4866,2024-11-19,1478.87,upi_qr,Success
31,922,2025-04-16,4578.39,send,Success
32,5916,2024-07-15,4144.08,upi_qr,Success
33,5988,2025-04-01,3138,upi_qr,Success
34,7602,2024-09-15,4205.62,bill_pay,Success
35,9282,2025-05-12,744.05,upi_qr,Failed
36,1134,2025-02-11,1769.3,recharge,Success
37,9925,2024-09-24,2419.13,upi_qr,Success
38,4944,2025-04-01,520.79,receive,Success
39,6095,2025-04-19,4031.78,send,Success
40,1209,2024-09-18,2133.51,upi_qr,Pending
41,417,2024-12-12,403.94,receive,Failed
42,404,2024-09-23,734.02,bill_pay,Pending
43,6434,2025-02-07,3004.28,bill_pay,Pending
44,3487,2025-03-14,4320.44,recharge,Pending
45,4358,2025-04-22,4367.9,send,Pending
46,5003,2024-06-20,2911.91,bill_pay,Success
47,4990,2025-01-27,4351.12,upi_qr,Pending
48,8193,2024-08-09,4197.19,upi_qr,Pending
49,1104,2024-12-05,4244.47,receive,Success
50,3348,2024-11-20,3838.92,send,Pending
51,6211,2024-07-28,1370.04,send,Success
52,580,2024-10-20,1998.73,recharge,Pending
53,1631,2024-07-29,1565.66,bill_pay,Failed
54,1457,2025-05-09,963.28,send,Pending
55,5852,2025-03-20,458.88,recharge,Success
56,1798,2024-06-13,4472.06,recharge,Success
57,6557,2025-01-26,2878.08,bill_pay,Success
58,3812,2025-02-25,399.09,bill_pay,Success
59,3923,2024-09-15,1633.02,receive,Success
60,6558,2025-02-04,3238.17,send,Success
61,8505,2024-08-17,2616.82,send,Failed
62,3329,2024-12-07,3949.04,recharge,Success
63,3931,2025-02-01,3106.71,bill_pay,Success
64,2295,2025-02-01,4522.88,bill_pay,Failed
65,6610,2025-04-04,3867.64,send,Success
66,9696,2024-06-11,777.66,receive,Pending
67,8517,2025-02-01,3556.72,bill_pay,Pending
68,8810,2025-05-08,2905.89,upi_qr,Failed
69,8779,2024-12-28,147.04,receive,Failed
70,2956,2025-01-22,1809.34,upi_qr,Pending
71,8310,2024-07-17,4863.81,send,Success
72,1579,2024-12-11,3386.54,receive,Failed
73,2001,2024-12-01,1759.83,upi_qr,Pending
74,8263,2025-02-23,2487.54,receive,Pending
75,8109,2025-01-10,3579.94,receive,Success
76,5470,2024-11-28,4657.47,bill_pay,Pending
77,9467,2024-07-22,3799.22,bill_pay,Success
78,7373,2025-04-18,3724.08,bill_pay,Success
79,43,2024-11-21,4626.54,recharge,Failed
80,1967,2024-11-17,3902.58,bill_pay,Success
81,1743,2024-12-09,679.12,upi_qr,Pending
82,2159,2025-02-21,4373.8,recharge,Failed
83,6925,2024-10-04,3156.7,upi_qr,Success
84,4113,2024-07-06,114.61,upi_qr,Failed
85,999,2024-12-09,573.92,send,Pending
86,6618,2025-04-09,2405.06,recharge,Pending
87,2566,2024-07-02,1981.13,receive,Pending
88,5272,2025-04-24,2214.05,upi_qr,Failed
89,3830,2024-08-24,2693.47,send,Pending
90,6069,2025-03-12,3910.11,send,Pending
91,7690,2024-08-15,2970,send,Pending
92,9392,2024-08-03,1588.63,upi_qr,Pending
93,4297,2025-04-02,4621.71,receive,Pending
94,9229,2024-09-03,2198.88,recharge,Success
95,7284,2024-07-20,2409.78,recharge,Success
96,7278,2024-10-19,2410.45,receive,Success
97,9538,2025-03-11,2026.98,receive,Failed
98,9014,2025-01-16,4358.52,recharge,Success
99,2200,2025-04-30,4642.46,send,Pending
100,9436,2024-10-04,2970.15,receive,Pending
101,81,2025-02-06,899.98,send,Failed
102,160,2024-08-20,899.1,bill_pay,Failed
103,5527,2025-04-03,1168.31,bill_pay,Pending
104,6881,2024-06-27,3979.53,recharge,Pending
105,9781,2025-05-04,4726.12,bill_pay,Pending
106,4597,2025-05-01,4228.3,receive,Pending
107,1376,2024-08-14,1677.59,recharge,Failed
108,9550,2025-04-14,1274.94,recharge,Failed
109,635,2025-02-04,4223.34,receive,Pending
110,1100,2024-06-09,4029.21,upi_qr,Pending
111,8985,2024-12-24,1501.03,send,Failed
112,4629,2025-04-29,2611.86,send,Failed
113,1719,2024-09-11,1051.62,upi_qr,Pending
114,2875,2024-06-13,369.16,recharge,Pending
115,3564,2025-05-15,4364.02,send,Pending
