campaign_id,user_id,sent_date,campaign_type,success
1,8279,2025-05-06,Cashback,1
2,1921,2025-05-14,Cashback,0
3,9892,2025-04-02,Cashback,0
4,5489,2025-04-04,Personalized Offer,0
5,9339,2025-05-01,Refer & Earn,1
6,3987,2025-05-30,Cashback,1
7,4387,2025-04-15,Cashback,1
8,3146,2025-05-17,Refer & Earn,0
9,8328,2025-05-19,Cashback,0
10,450,2025-04-02,Personalized Offer,0
11,5996,2025-05-13,Cashback,1
12,7362,2025-05-08,Win-back,1
13,2953,2025-05-06,Personalized Offer,0
14,2437,2025-04-17,Win-back,1
15,8538,2025-05-30,Refer & Earn,0
16,5044,2025-05-10,Cashback,1
17,2517,2025-05-23,Personalized Offer,0
18,322,2025-04-12,Win-back,1
19,8981,2025-04-29,Refer & Earn,0
20,4974,2025-03-29,Refer & Earn,1
21,7295,2025-05-24,Personalized Offer,0
22,399,2025-06-02,Cashback,0
23,1522,2025-05-18,Win-back,1
24,1416,2025-05-30,Win-back,0
25,3376,2025-05-03,Refer & Earn,1
26,4198,2025-03-27,Cashback,0
27,397,2025-04-29,Personalized Offer,0
28,9855,2025-04-22,Cashback,0
29,6311,2025-04-27,Win-back,1
30,4147,2025-05-23,Personalized Offer,1
31,9825,2025-05-08,Refer & Earn,1
32,1305,2025-03-26,Refer & Earn,0
33,2336,2025-05-28,Cashback,1
34,7971,2025-05-18,Refer & Earn,1
35,4911,2025-04-03,Refer & Earn,1
36,1849,2025-06-08,Cashback,1
37,1359,2025-05-28,Personalized Offer,0
38,6673,2025-05-29,Personalized Offer,0
39,9524,2025-03-15,Win-back,0
40,5575,2025-04-07,Cashback,0
41,9663,2025-04-11,Personalized Offer,1
42,4083,2025-06-01,Personalized Offer,0
43,8508,2025-03-22,Win-back,1
44,6105,2025-03-29,Win-back,1
45,8598,2025-05-11,Personalized Offer,1
46,5578,2025-05-23,Personalized Offer,0
47,6180,2025-04-15,Win-back,1
48,104,2025-05-26,Win-back,1
49,8596,2025-04-27,Personalized Offer,0
50,7961,2025-05-16,Refer & Earn,0
51,8522,2025-03-18,Cashback,1
52,1797,2025-06-01,Refer & Earn,1
53,6620,2025-04-18,Win-back,0
54,6157,2025-04-16,Cashback,1
55,3687,2025-03-13,Personalized Offer,1
56,279,2025-04-13,Win-back,1
57,8731,2025-04-29,Refer & Earn,1
58,3968,2025-04-05,Personalized Offer,1
59,7325,2025-04-25,Refer & Earn,1
60,2454,2025-04-29,Win-back,0
61,1468,2025-04-20,Win-back,0
62,3629,2025-05-24,Refer & Earn,0
63,2885,2025-04-19,Win-back,0
64,5572,2025-04-24,Personalized Offer,1
65,6431,2025-03-14,Win-back,0
66,2080,2025-05-14,Win-back,1
67,7480,2025-03-14,Cashback,1
68,7531,2025-05-17,Refer & Earn,0
69,5674,2025-04-27,Cashback,1
70,951,2025-03-30,Cashback,0
71,9382,2025-04-12,Cashback,1
